nomemunic,Codigobacia,Bacia
Adamantina,21, Peixe
Adolfo,16, Tietê/Batalha
Aguaí,9, Mogi
Águas da Prata,9, Mogi
Águas de Lindóia,9, Mogi
Águas de Santa Bárbara,17, Médio Paranapanema
Águas de São Pedro,5, Piracicaba/Capivari/Jundiaí
Agudos,13, Tietê/Jacaré
Alambari,10, Tietê/Sorocaba
Alfredo Marcondes,21, Peixe
Altair,12, Baixo Pardo/Grande
Altinópolis,4, Pardo
Alto Alegre,19, Baixo Tietê
Alumínio,10, Tietê/Sorocaba
Álvares Florence,15, Turvo/Grande
Álvares Machado,21, Peixe
Álvaro de Carvalho,20, Aguapeí
Alvinlândia,17, Médio Paranapanema
Americana,5, Piracicaba/Capivari/Jundiaí
Américo Brasiliense,9, Mogi
Américo de Campos,15, Turvo/Grande
Amparo,5, Piracicaba/Capivari/Jundiaí
Analândia,5, Piracicaba/Capivari/Jundiaí
Andradina,19, Baixo Tietê
Angatuba,14, Alto Paranapanema
Anhembi,10, Tietê/Sorocaba
Anhumas,22, Pontal do Paranapanema
Aparecida,2, Paraíba do Sul
Aparecida d'Oeste,18, São José dos Dourados
Apiaí,11, Ribeira de Iguape/Litoral Sul
Araçariguama,10, Tietê/Sorocaba
Araçatuba,19, Baixo Tietê
Araçoiaba da Serra,10, Tietê/Sorocaba
Aramina,8, Sapucaí/Grande
Arandu,14, Alto Paranapanema
Arapeí,2, Paraíba do Sul
Araraquara,13, Tietê/Jacaré
Araras,9, Mogi
Arco Íris,20, Aguapeí
Arealva,13, Tietê/Jacaré
Areias,2, Paraíba do Sul
Areiópolis,13, Tietê/Jacaré
Ariranha,15, Turvo/Grande
Artur Nogueira,5, Piracicaba/Capivari/Jundiaí
Arujá,6, Alto Tietê
Aspásia,15, Turvo/Grande
Assis,17, Médio Paranapanema
Atibaia,5, Piracicaba/Capivari/Jundiaí
Auriflama,18, São José dos Dourados
Avaí,16, Tietê/Batalha
Avanhandava,19, Baixo Tietê
Avaré,17, Médio Paranapanema
Bady Bassitt,16, Tietê/Batalha
Balbinos,16, Tietê/Batalha
Bálsamo,15, Turvo/Grande
Bananal,2, Paraíba do Sul
Barão de Antonina,14, Alto Paranapanema
Barbosa,19, Baixo Tietê
Bariri,13, Tietê/Jacaré
Barra Bonita,13, Tietê/Jacaré
Barra do Chapéu,11, Ribeira de Iguape/Litoral Sul
Barra do Turvo,11, Ribeira de Iguape/Litoral Sul
Barretos,12, Baixo Pardo/Grande
Barrinha,9, Mogi
Barueri,6, Alto Tietê
Bastos,21, Peixe
Batatais,8, Sapucaí/Grande
Bauru,13, Tietê/Jacaré
Bebedouro,12, Baixo Pardo/Grande
Bento de Abreu,19, Baixo Tietê
Bernardino de Campos,14, Alto Paranapanema
Bertioga,7, Baixada Santista
Bilac,19, Baixo Tietê
Birigui,19, Baixo Tietê
Biritiba Mirim,6, Alto Tietê
Boa Esperança do Sul,13, Tietê/Jacaré
Bocaina,13, Tietê/Jacaré
Bofete,10, Tietê/Sorocaba
Boituva,10, Tietê/Sorocaba
Bom Jesus dos Perdões,5, Piracicaba/Capivari/Jundiaí
Bom Sucesso de Itararé,14, Alto Paranapanema
Borá,21, Peixe
Boracéia,13, Tietê/Jacaré
Borborema,16, Tietê/Batalha
Borebi,13, Tietê/Jacaré
Botucatu,10, Tietê/Sorocaba
Bragança Paulista,5, Piracicaba/Capivari/Jundiaí
Braúna,19, Baixo Tietê
Brejo Alegre,19, Baixo Tietê
Brodowski,4, Pardo
Brotas,13, Tietê/Jacaré
Buri,14, Alto Paranapanema
Buritama,19, Baixo Tietê
Buritizal,8, Sapucaí/Grande
Cabrália Paulista,17, Médio Paranapanema
Cabreúva,10, Tietê/Sorocaba
Caçapava,2, Paraíba do Sul
Cachoeira Paulista,2, Paraíba do Sul
Caconde,4, Pardo
Cafelândia,16, Tietê/Batalha
Caiabu,21, Peixe
Caieiras,6, Alto Tietê
Caiuá,22, Pontal do Paranapanema
Cajamar,6, Alto Tietê
Cajati,11, Ribeira de Iguape/Litoral Sul
Cajobi,15, Turvo/Grande
Cajuru,4, Pardo
Campina do Monte Alegre,14, Alto Paranapanema
Campinas,5, Piracicaba/Capivari/Jundiaí
Campo Limpo Paulista,5, Piracicaba/Capivari/Jundiaí
Campos do Jordão,1, Mantiqueira
Campos Novos Paulista,17, Médio Paranapanema
Cananéia,11, Ribeira de Iguape/Litoral Sul
Canas,2, Paraíba do Sul
Cândido Mota,17, Médio Paranapanema
Cândido Rodrigues,15, Turvo/Grande
Canitar,17, Médio Paranapanema
Capão Bonito,14, Alto Paranapanema
Capela do Alto,10, Tietê/Sorocaba
Capivari,5, Piracicaba/Capivari/Jundiaí
Caraguatatuba,3, Litoral Norte
Carapicuíba,6, Alto Tietê
Cardoso,15, Turvo/Grande
Casa Branca,4, Pardo
Cássia dos Coqueiros,4, Pardo
Castilho,19, Baixo Tietê
Catanduva,15, Turvo/Grande
Catiguá,15, Turvo/Grande
Cedral,15, Turvo/Grande
Cerqueira César,17, Médio Paranapanema
Cerquilho,10, Tietê/Sorocaba
Cesário Lange,10, Tietê/Sorocaba
Charqueada,5, Piracicaba/Capivari/Jundiaí
Chavantes,17, Médio Paranapanema
Clementina,20, Aguapeí
Colina,12, Baixo Pardo/Grande
Colômbia,12, Baixo Pardo/Grande
Conchal,9, Mogi
Conchas,10, Tietê/Sorocaba
Cordeirópolis,5, Piracicaba/Capivari/Jundiaí
Coroados,19, Baixo Tietê
Coronel Macedo,14, Alto Paranapanema
Corumbataí,5, Piracicaba/Capivari/Jundiaí
Cosmópolis,5, Piracicaba/Capivari/Jundiaí
Cosmorama,15, Turvo/Grande
Cotia,6, Alto Tietê
Cravinhos,4, Pardo
Cristais Paulista,8, Sapucaí/Grande
Cruzália,17, Médio Paranapanema
Cruzeiro,2, Paraíba do Sul
Cubatão,7, Baixada Santista
Cunha,2, Paraíba do Sul
Descalvado,9, Mogi
Diadema,6, Alto Tietê
Dirce Reis,18, São José dos Dourados
Divinolândia,4, Pardo
Dobrada,16, Tietê/Batalha
Dois Córregos,13, Tietê/Jacaré
Dolcinópolis,15, Turvo/Grande
Dourado,13, Tietê/Jacaré
Dracena,20, Aguapeí
Duartina,17, Médio Paranapanema
Dumont,9, Mogi
Echaporã,17, Médio Paranapanema
Eldorado,11, Ribeira de Iguape/Litoral Sul
Elias Fausto,5, Piracicaba/Capivari/Jundiaí
Elisiário,16, Tietê/Batalha
Embaúba,15, Turvo/Grande
Embu das Artes,6, Alto Tietê
Embu-Guaçu,6, Alto Tietê
Emilianópolis,21, Peixe
Engenheiro Coelho,9, Mogi
Espírito Santo do Pinhal,9, Mogi
Espírito Santo do Turvo,17, Médio Paranapanema
Estiva Gerbi,9, Mogi
Estrela do Norte,22, Pontal do Paranapanema
Estrela d'Oeste,15, Turvo/Grande
Euclides da Cunha Paulista,22, Pontal do Paranapanema
Fartura,14, Alto Paranapanema
Fernando Prestes,15, Turvo/Grande
Fernandópolis,15, Turvo/Grande
Fernão,17, Médio Paranapanema
Ferraz de Vasconcelos,6, Alto Tietê
Flora Rica,21, Peixe
Floreal,18, São José dos Dourados
Flórida Paulista,21, Peixe
Florínia,17, Médio Paranapanema
Franca,8, Sapucaí/Grande
Francisco Morato,6, Alto Tietê
Franco da Rocha,6, Alto Tietê
Gabriel Monteiro,20, Aguapeí
Gália,17, Médio Paranapanema
Garça,20, Aguapeí
Gastão Vidigal,19, Baixo Tietê
Gavião Peixoto,13, Tietê/Jacaré
General Salgado,18, São José dos Dourados
Getulina,20, Aguapeí
Glicério,19, Baixo Tietê
Guaiçara,16, Tietê/Batalha
Guaimbê,20, Aguapeí
Guaíra,8, Sapucaí/Grande
Guapiaçu,15, Turvo/Grande
Guapiara,14, Alto Paranapanema
Guará,8, Sapucaí/Grande
Guaraçaí,19, Baixo Tietê
Guaraci,12, Baixo Pardo/Grande
Guarani d'Oeste,15, Turvo/Grande
Guarantã,16, Tietê/Batalha
Guararapes,19, Baixo Tietê
Guararema,2, Paraíba do Sul
Guaratinguetá,2, Paraíba do Sul
Guareí,14, Alto Paranapanema
Guariba,9, Mogi
Guarujá,7, Baixada Santista
Guarulhos,6, Alto Tietê
Guatapará,9, Mogi
Guzolândia,18, São José dos Dourados
Herculândia,20, Aguapeí
Holambra,5, Piracicaba/Capivari/Jundiaí
Hortolândia,5, Piracicaba/Capivari/Jundiaí
Iacanga,13, Tietê/Jacaré
Iacri,20, Aguapeí
Iaras,17, Médio Paranapanema
Ibaté,13, Tietê/Jacaré
Ibirá,16, Tietê/Batalha
Ibirarema,17, Médio Paranapanema
Ibitinga,13, Tietê/Jacaré
Ibiúna,10, Tietê/Sorocaba
Icém,12, Baixo Pardo/Grande
Iepê,22, Pontal do Paranapanema
Igaraçu do Tietê,13, Tietê/Jacaré
Igarapava,8, Sapucaí/Grande
Igaratá,2, Paraíba do Sul
Iguape,11, Ribeira de Iguape/Litoral Sul
Ilha Comprida,11, Ribeira de Iguape/Litoral Sul
Ilha Solteira,18, São José dos Dourados
Ilhabela,3, Litoral Norte
Indaiatuba,5, Piracicaba/Capivari/Jundiaí
Indiana,21, Peixe
Indiaporã,15, Turvo/Grande
Inúbia Paulista,21, Peixe
Ipaussu,14, Alto Paranapanema
Iperó,10, Tietê/Sorocaba
Ipeúna,5, Piracicaba/Capivari/Jundiaí
Ipiguá,15, Turvo/Grande
Iporanga,11, Ribeira de Iguape/Litoral Sul
Ipuã,8, Sapucaí/Grande
Iracemápolis,5, Piracicaba/Capivari/Jundiaí
Irapuã,16, Tietê/Batalha
Irapuru,21, Peixe
Itaberá,14, Alto Paranapanema
Itaí,14, Alto Paranapanema
Itajobi,16, Tietê/Batalha
Itaju,13, Tietê/Jacaré
Itanhaém,7, Baixada Santista
Itaóca,11, Ribeira de Iguape/Litoral Sul
Itapecerica da Serra,6, Alto Tietê
Itapetininga,14, Alto Paranapanema
Itapeva,14, Alto Paranapanema
Itapevi,6, Alto Tietê
Itapira,9, Mogi
Itapirapuã Paulista,11, Ribeira de Iguape/Litoral Sul
Itápolis,16, Tietê/Batalha
Itaporanga,14, Alto Paranapanema
Itapuí,13, Tietê/Jacaré
Itapura,19, Baixo Tietê
Itaquaquecetuba,6, Alto Tietê
Itararé,14, Alto Paranapanema
Itariri,11, Ribeira de Iguape/Litoral Sul
Itatiba,5, Piracicaba/Capivari/Jundiaí
Itatinga,17, Médio Paranapanema
Itirapina,13, Tietê/Jacaré
Itirapuã,8, Sapucaí/Grande
Itobi,4, Pardo
Itu,10, Tietê/Sorocaba
Itupeva,5, Piracicaba/Capivari/Jundiaí
Ituverava,8, Sapucaí/Grande
Jaborandi,12, Baixo Pardo/Grande
Jaboticabal,9, Mogi
Jacareí,2, Paraíba do Sul
Jaci,16, Tietê/Batalha
Jacupiranga,11, Ribeira de Iguape/Litoral Sul
Jaguariúna,5, Piracicaba/Capivari/Jundiaí
Jales,18, São José dos Dourados
Jambeiro,2, Paraíba do Sul
Jandira,6, Alto Tietê
Jardinópolis,4, Pardo
Jarinu,5, Piracicaba/Capivari/Jundiaí
Jaú,13, Tietê/Jacaré
Jeriquara,8, Sapucaí/Grande
Joanópolis,5, Piracicaba/Capivari/Jundiaí
João Ramalho,17, Médio Paranapanema
José Bonifácio,19, Baixo Tietê
Júlio Mesquita,20, Aguapeí
Jumirim,10, Tietê/Sorocaba
Jundiaí,5, Piracicaba/Capivari/Jundiaí
Junqueirópolis,21, Peixe
Juquiá,11, Ribeira de Iguape/Litoral Sul
Juquitiba,11, Ribeira de Iguape/Litoral Sul
Lagoinha,2, Paraíba do Sul
Laranjal Paulista,10, Tietê/Sorocaba
Lavínia,19, Baixo Tietê
Lavrinhas,2, Paraíba do Sul
Leme,9, Mogi
Lençóis Paulista,13, Tietê/Jacaré
Limeira,5, Piracicaba/Capivari/Jundiaí
Lindóia,9, Mogi
Lins,16, Tietê/Batalha
Lorena,2, Paraíba do Sul
Lourdes,19, Baixo Tietê
Louveira,5, Piracicaba/Capivari/Jundiaí
Lucélia,20, Aguapeí
Lucianópolis,17, Médio Paranapanema
Luís Antônio,9, Mogi
Luiziânia,20, Aguapeí
Lupércio,17, Médio Paranapanema
Lutécia,21, Peixe
Macatuba,13, Tietê/Jacaré
Macaubal,19, Baixo Tietê
Macedônia,15, Turvo/Grande
Magda,19, Baixo Tietê
Mairinque,10, Tietê/Sorocaba
Mairiporã,6, Alto Tietê
Manduri,14, Alto Paranapanema
Marabá Paulista,22, Pontal do Paranapanema
Maracaí,17, Médio Paranapanema
Marapoama,16, Tietê/Batalha
Mariápolis,21, Peixe
Marília,21, Peixe
Marinópolis,18, São José dos Dourados
Martinópolis,21, Peixe
Matão,16, Tietê/Batalha
Mauá,6, Alto Tietê
Mendonça,16, Tietê/Batalha
Meridiano,15, Turvo/Grande
Mesópolis,15, Turvo/Grande
Miguelópolis,8, Sapucaí/Grande
Mineiros do Tietê,13, Tietê/Jacaré
Mira Estrela,15, Turvo/Grande
Miracatu,11, Ribeira de Iguape/Litoral Sul
Mirandópolis,19, Baixo Tietê
Mirante do Paranapanema,22, Pontal do Paranapanema
Mirassol,15, Turvo/Grande
Mirassolândia,15, Turvo/Grande
Mococa,4, Pardo
Mogi das Cruzes,6, Alto Tietê
Mogi Guaçu,9, Mogi
Moji Mirim,9, Mogi
Mombuca,5, Piracicaba/Capivari/Jundiaí
Monções,19, Baixo Tietê
Mongaguá,7, Baixada Santista
Monte Alegre do Sul,5, Piracicaba/Capivari/Jundiaí
Monte Alto,15, Turvo/Grande
