Município,Ano,Area Colhida
3500105,1990,5267
3500105,1991,4585
3500105,1992,2076
3500105,1993,1696
3500105,1994,1023
3500105,1995,975
3500105,1996,982
3500105,1997,817
3500105,1998,973
3500105,1999,1294
3500105,2000,781
3500105,2001,1451
3500105,2002,1421
3500105,2003,1466
3500105,2004,1471
3500105,2005,1514
3500105,2006,1107
3500105,2007,932
3500105,2008,723
3500105,2009,853
3500105,2010,931
3500105,2011,925
3500105,2012,918
3500105,2013,878
3500105,2014,883
3500204,1990,3404
3500204,1991,3091
3500204,1992,3606
3500204,1993,2427
3500204,1994,3748
3500204,1995,3623
3500204,1996,3755
3500204,1997,3692
3500204,1998,4064
3500204,1999,4191
3500204,2000,3505
3500204,2001,3653
3500204,2002,3108
3500204,2003,3000
3500204,2004,2842
3500204,2005,2595
3500204,2006,2631
3500204,2007,2771
3500204,2008,2544
3500204,2009,2484
3500204,2010,2877
3500204,2011,2875
3500204,2012,2920
3500204,2013,2995
3500204,2014,2408
3500303,1990,3623
3500303,1991,3764
3500303,1992,3708
3500303,1993,4941
3500303,1994,5980
3500303,1995,4807
3500303,1996,6027
3500303,1997,947
3500303,1998,5979
3500303,1999,5819
3500303,2000,11531
3500303,2001,7899
3500303,2002,11449
3500303,2003,11700
3500303,2004,16999
3500303,2005,16456
3500303,2006,15800
3500303,2007,19700
3500303,2008,15735
3500303,2009,18145
3500303,2010,10475
3500303,2011,10475
3500303,2012,10701
3500303,2013,10705
3500303,2014,10585
3500402,1990,1170
3500402,1991,1220
3500402,1992,1254
3500402,1993,1272
3500402,1994,935
3500402,1995,779
3500402,1996,856
3500402,1997,856
3500402,1998,895
3500402,1999,1010
3500402,2000,920
3500402,2001,608
3500402,2002,890
3500402,2003,858
3500402,2004,858
3500402,2005,850
3500402,2006,850
3500402,2007,800
3500402,2008,804
3500402,2009,1000
3500402,2010,1000
3500402,2011,1000
3500402,2012,1040
3500402,2013,1024
3500402,2014,1023
3500501,1990,1051
3500501,1991,1053
3500501,1992,1047
3500501,1993,936
3500501,1994,568
3500501,1995,566
3500501,1996,566
3500501,1997,561
3500501,1998,593
3500501,1999,606
3500501,2000,474
3500501,2001,420
3500501,2002,444
3500501,2003,444
3500501,2004,441
3500501,2005,459
3500501,2006,528
3500501,2007,519
3500501,2008,515
3500501,2009,522
3500501,2010,522
3500501,2011,515
3500501,2012,515
3500501,2013,515
3500501,2014,515
3500550,1990,120
3500550,1991,120
3500550,1992,1300
3500550,1993,472
3500550,1994,895
3500550,1995,822
3500550,1996,1253
3500550,1997,1203
3500550,1998,1578
3500550,1999,1558
3500550,2000,1250
3500550,2001,1250
3500550,2002,1250
3500550,2003,1250
3500550,2004,1766
3500550,2005,988
3500550,2006,1000
3500550,2007,960
3500550,2008,1000
3500550,2009,8200
3500550,2010,6420
3500550,2011,6620
3500550,2012,6520
3500550,2013,4520
3500550,2014,4520
3500600,1990,-
3500600,1991,-
3500600,1992,-
3500600,1993,-
3500600,1994,-
3500600,1995,-
3500600,1996,-
3500600,1997,-
3500600,1998,-
3500600,1999,-
3500600,2000,-
3500600,2001,-
3500600,2002,-
3500600,2003,-
3500600,2004,-
3500600,2005,-
3500600,2006,-
3500600,2007,-
3500600,2008,-
3500600,2009,-
3500600,2010,-
3500600,2011,-
3500600,2012,-
3500600,2013,-
3500600,2014,-
3500709,1990,1898
3500709,1991,1201
3500709,1992,821
3500709,1993,302
3500709,1994,216
3500709,1995,247
3500709,1996,248
3500709,1997,488
3500709,1998,200
3500709,1999,282
3500709,2000,306
3500709,2001,272
3500709,2002,238
3500709,2003,312
3500709,2004,380
3500709,2005,411
3500709,2006,461
3500709,2007,624
3500709,2008,446
3500709,2009,446
3500709,2010,441
3500709,2011,679
3500709,2012,679
3500709,2013,679
3500709,2014,1362
3500758,1990,-
3500758,1991,-
3500758,1992,-
3500758,1993,-
3500758,1994,4
3500758,1995,2
3500758,1996,3
3500758,1997,1154
3500758,1998,1156
3500758,1999,1156
3500758,2000,996
3500758,2001,941
3500758,2002,1203
3500758,2003,941
3500758,2004,924
3500758,2005,974
3500758,2006,974
3500758,2007,1323
3500758,2008,983
3500758,2009,1016
3500758,2010,871
3500758,2011,320
3500758,2012,325
3500758,2013,325
3500758,2014,325
3500808,1990,91
3500808,1991,127
3500808,1992,152
3500808,1993,124
3500808,1994,85
3500808,1995,85
3500808,1996,87
3500808,1997,84
3500808,1998,84
3500808,1999,42
3500808,2000,40
3500808,2001,63
3500808,2002,69
3500808,2003,67
3500808,2004,66
3500808,2005,55
3500808,2006,56
3500808,2007,56
3500808,2008,46
3500808,2009,44
3500808,2010,49
3500808,2011,50
3500808,2012,40
3500808,2013,23
3500808,2014,26
3500907,1990,4130
3500907,1991,5130
3500907,1992,5130
3500907,1993,6259
3500907,1994,6259
3500907,1995,4341
3500907,1996,7370
3500907,1997,7320
3500907,1998,5781
3500907,1999,6548
3500907,2000,6059
3500907,2001,3504
3500907,2002,4843
3500907,2003,5276
3500907,2004,4414
3500907,2005,4198
3500907,2006,4246
3500907,2007,5237
3500907,2008,5177
3500907,2009,7446
3500907,2010,5175
3500907,2011,5175
3500907,2012,4179
3500907,2013,4172
3500907,2014,4172
3501004,1990,9710
3501004,1991,9023
3501004,1992,10685
3501004,1993,1161
3501004,1994,12518
3501004,1995,12455
3501004,1996,12587
3501004,1997,12541
3501004,1998,11847
3501004,1999,13748
3501004,2000,11855
3501004,2001,9184
3501004,2002,7996
3501004,2003,7999
3501004,2004,8857
3501004,2005,9000
3501004,2006,8830
3501004,2007,10038
3501004,2008,10091
3501004,2009,9249
3501004,2010,8778
3501004,2011,9787
3501004,2012,3238
3501004,2013,9158
3501004,2014,9168
3501103,1990,1292
3501103,1991,1330
3501103,1992,1214
