Municipio,Lavoura permanente,Ano,Valor
3500105,Abacate,1995,-
3500105,Abacate,2014,7
3500105,Algodão arbóreo (em caroço),1995,-
3500105,Algodão arbóreo (em caroço),2014,-
3500105,Azeitona,1995,-
3500105,Azeitona,2014,-
3500105,Banana (cacho),1995,1
3500105,Banana (cacho),2014,797
3500105,Borracha (látex coagulado),1995,49
3500105,Borracha (látex coagulado),2014,919
3500105,Cacau (em amêndoa),1995,-
3500105,Cacau (em amêndoa),2014,-
3500105,Café (em grão) Total,1995,1099
3500105,Café (em grão) Total,2014,2205
3500105,Café (em grão) Arábica,1995,-
3500105,Café (em grão) Arábica,2014,2205
3500105,Café (em grão) Canephora,1995,-
3500105,Café (em grão) Canephora,2014,-
3500105,Caqui,1995,-
3500105,Caqui,2014,-
3500105,Castanha de caju,1995,-
3500105,Castanha de caju,2014,-
3500105,Chá-da-índia (folha verde),1995,-
3500105,Chá-da-índia (folha verde),2014,-
3500105,Coco-da-baía,1995,-
3500105,Coco-da-baía,2014,47
3500105,Dendê (cacho de coco),1995,-
3500105,Dendê (cacho de coco),2014,-
3500105,Erva-mate (folha verde),1995,-
3500105,Erva-mate (folha verde),2014,-
3500105,Figo,1995,-
3500105,Figo,2014,-
3500105,Goiaba,1995,-
3500105,Goiaba,2014,-
3500105,Guaraná (semente),1995,-
3500105,Guaraná (semente),2014,-
3500105,Laranja,1995,33
3500105,Laranja,2014,-
3500105,Limão,1995,-
3500105,Limão,2014,-
3500105,Maçã,1995,-
3500105,Maçã,2014,-
3500105,Mamão,1995,8
3500105,Mamão,2014,46
3500105,Manga,1995,27
3500105,Manga,2014,-
3500105,Maracujá,1995,190
3500105,Maracujá,2014,1112
3500105,Marmelo,1995,-
3500105,Marmelo,2014,-
3500105,Noz (fruto seco),1995,-
3500105,Noz (fruto seco),2014,-
3500105,Palmito,1995,-
3500105,Palmito,2014,-
3500105,Pera,1995,-
3500105,Pera,2014,-
3500105,Pêssego,1995,-
3500105,Pêssego,2014,-
3500105,Pimenta-do-reino,1995,-
3500105,Pimenta-do-reino,2014,-
3500105,Sisal ou agave (fibra),1995,-
3500105,Sisal ou agave (fibra),2014,-
3500105,Tangerina,1995,22
3500105,Tangerina,2014,-
3500105,Tungue (fruto seco),1995,-
3500105,Tungue (fruto seco),2014,-
3500105,Urucum (semente),1995,-
3500105,Urucum (semente),2014,70
3500105,Uva,1995,10
3500105,Uva,2014,97
3500204,Abacate,1995,-
3500204,Abacate,2014,-
3500204,Algodão arbóreo (em caroço),1995,-
3500204,Algodão arbóreo (em caroço),2014,-
3500204,Azeitona,1995,-
3500204,Azeitona,2014,-
3500204,Banana (cacho),1995,-
3500204,Banana (cacho),2014,-
3500204,Borracha (látex coagulado),1995,218
3500204,Borracha (látex coagulado),2014,906
3500204,Cacau (em amêndoa),1995,-
3500204,Cacau (em amêndoa),2014,-
3500204,Café (em grão) Total,1995,41
3500204,Café (em grão) Total,2014,-
3500204,Café (em grão) Arábica,1995,-
3500204,Café (em grão) Arábica,2014,-
3500204,Café (em grão) Canephora,1995,-
3500204,Café (em grão) Canephora,2014,-
3500204,Caqui,1995,-
3500204,Caqui,2014,-
3500204,Castanha de caju,1995,-
3500204,Castanha de caju,2014,-
3500204,Chá-da-índia (folha verde),1995,-
3500204,Chá-da-índia (folha verde),2014,-
3500204,Coco-da-baía,1995,-
3500204,Coco-da-baía,2014,30
3500204,Dendê (cacho de coco),1995,-
3500204,Dendê (cacho de coco),2014,-
3500204,Erva-mate (folha verde),1995,-
3500204,Erva-mate (folha verde),2014,-
3500204,Figo,1995,-
3500204,Figo,2014,-
3500204,Goiaba,1995,-
3500204,Goiaba,2014,-
3500204,Guaraná (semente),1995,-
3500204,Guaraná (semente),2014,-
3500204,Laranja,1995,3873
3500204,Laranja,2014,11953
3500204,Limão,1995,101
3500204,Limão,2014,824
3500204,Maçã,1995,-
3500204,Maçã,2014,-
3500204,Mamão,1995,-
3500204,Mamão,2014,-
3500204,Manga,1995,19
3500204,Manga,2014,-
3500204,Maracujá,1995,-
3500204,Maracujá,2014,-
3500204,Marmelo,1995,-
3500204,Marmelo,2014,-
3500204,Noz (fruto seco),1995,-
3500204,Noz (fruto seco),2014,-
3500204,Palmito,1995,-
3500204,Palmito,2014,-
3500204,Pera,1995,-
3500204,Pera,2014,-
3500204,Pêssego,1995,-
3500204,Pêssego,2014,-
3500204,Pimenta-do-reino,1995,-
3500204,Pimenta-do-reino,2014,-
3500204,Sisal ou agave (fibra),1995,-
3500204,Sisal ou agave (fibra),2014,-
3500204,Tangerina,1995,23
3500204,Tangerina,2014,609
3500204,Tungue (fruto seco),1995,-
3500204,Tungue (fruto seco),2014,-
3500204,Urucum (semente),1995,-
3500204,Urucum (semente),2014,-
3500204,Uva,1995,-
3500204,Uva,2014,-
3500303,Abacate,1995,-
3500303,Abacate,2014,1069
3500303,Algodão arbóreo (em caroço),1995,-
3500303,Algodão arbóreo (em caroço),2014,-
3500303,Azeitona,1995,-
3500303,Azeitona,2014,-
3500303,Banana (cacho),1995,-
3500303,Banana (cacho),2014,2038
3500303,Borracha (látex coagulado),1995,-
3500303,Borracha (látex coagulado),2014,-
3500303,Cacau (em amêndoa),1995,-
3500303,Cacau (em amêndoa),2014,-
3500303,Café (em grão) Total,1995,333
3500303,Café (em grão) Total,2014,6287
3500303,Café (em grão) Arábica,1995,-
3500303,Café (em grão) Arábica,2014,6287
3500303,Café (em grão) Canephora,1995,-
3500303,Café (em grão) Canephora,2014,-
3500303,Caqui,1995,-
3500303,Caqui,2014,-
3500303,Castanha de caju,1995,-
3500303,Castanha de caju,2014,-
3500303,Chá-da-índia (folha verde),1995,-
3500303,Chá-da-índia (folha verde),2014,-
3500303,Coco-da-baía,1995,-
3500303,Coco-da-baía,2014,-
3500303,Dendê (cacho de coco),1995,-
3500303,Dendê (cacho de coco),2014,-
3500303,Erva-mate (folha verde),1995,-
3500303,Erva-mate (folha verde),2014,-
3500303,Figo,1995,-
3500303,Figo,2014,-
3500303,Goiaba,1995,-
3500303,Goiaba,2014,-
3500303,Guaraná (semente),1995,-
3500303,Guaraná (semente),2014,-
3500303,Laranja,1995,5720
3500303,Laranja,2014,53907
3500303,Limão,1995,-
3500303,Limão,2014,2176
3500303,Maçã,1995,-
3500303,Maçã,2014,-
3500303,Mamão,1995,-
3500303,Mamão,2014,87
3500303,Manga,1995,-
3500303,Manga,2014,2316
3500303,Maracujá,1995,-
3500303,Maracujá,2014,-
3500303,Marmelo,1995,-
3500303,Marmelo,2014,-
3500303,Noz (fruto seco),1995,-
3500303,Noz (fruto seco),2014,-
3500303,Palmito,1995,-
3500303,Palmito,2014,-
3500303,Pera,1995,-
3500303,Pera,2014,-
3500303,Pêssego,1995,-
3500303,Pêssego,2014,-
3500303,Pimenta-do-reino,1995,-
3500303,Pimenta-do-reino,2014,-
3500303,Sisal ou agave (fibra),1995,-
3500303,Sisal ou agave (fibra),2014,-
3500303,Tangerina,1995,-
3500303,Tangerina,2014,757
3500303,Tungue (fruto seco),1995,-
3500303,Tungue (fruto seco),2014,-
3500303,Urucum (semente),1995,-
3500303,Urucum (semente),2014,-
3500303,Uva,1995,-
3500303,Uva,2014,-
3500402,Abacate,1995,-
3500402,Abacate,2014,-
3500402,Algodão arbóreo (em caroço),1995,-
3500402,Algodão arbóreo (em caroço),2014,-
3500402,Azeitona,1995,-
3500402,Azeitona,2014,-
3500402,Banana (cacho),1995,-
3500402,Banana (cacho),2014,-
3500402,Borracha (látex coagulado),1995,-
3500402,Borracha (látex coagulado),2014,-
3500402,Cacau (em amêndoa),1995,-
3500402,Cacau (em amêndoa),2014,-
3500402,Café (em grão) Total,1995,1584
3500402,Café (em grão) Total,2014,5642
3500402,Café (em grão) Arábica,1995,-
3500402,Café (em grão) Arábica,2014,5642
3500402,Café (em grão) Canephora,1995,-
3500402,Café (em grão) Canephora,2014,-
3500402,Caqui,1995,-
3500402,Caqui,2014,-
