Município,Ano,Moeda,VPPermanente
3500105,1990,(Mil Cruzeiros),304851
3500105,1991,(Mil Cruzeiros),475708
3500105,1992,(Mil Cruzeiros),6019675
3500105,1993,(Mil Cruzeiros Reais),225523
3500105,1994,(Mil Reais),1713
3500105,1995,(Mil Reais),1439
3500105,1996,(Mil Reais),1563
3500105,1997,(Mil Reais),1766
3500105,1998,(Mil Reais),1463
3500105,1999,(Mil Reais),3166
3500105,2000,(Mil Reais),1180
3500105,2001,(Mil Reais),2632
3500105,2002,(Mil Reais),2823
3500105,2003,(Mil Reais),3220
3500105,2004,(Mil Reais),4473
3500105,2005,(Mil Reais),3965
3500105,2006,(Mil Reais),4114
3500105,2007,(Mil Reais),2258
3500105,2008,(Mil Reais),2750
3500105,2009,(Mil Reais),3048
3500105,2010,(Mil Reais),5688
3500105,2011,(Mil Reais),5600
3500105,2012,(Mil Reais),6050
3500105,2013,(Mil Reais),5056
3500105,2014,(Mil Reais),5300
3500204,1990,(Mil Cruzeiros),554625
3500204,1991,(Mil Cruzeiros),2681534
3500204,1992,(Mil Cruzeiros),24971500
3500204,1993,(Mil Cruzeiros Reais),757214
3500204,1994,(Mil Reais),10719
3500204,1995,(Mil Reais),4275
3500204,1996,(Mil Reais),4377
3500204,1997,(Mil Reais),3626
3500204,1998,(Mil Reais),5013
3500204,1999,(Mil Reais),6138
3500204,2000,(Mil Reais),4495
3500204,2001,(Mil Reais),11643
3500204,2002,(Mil Reais),15328
3500204,2003,(Mil Reais),16924
3500204,2004,(Mil Reais),21428
3500204,2005,(Mil Reais),17134
3500204,2006,(Mil Reais),24968
3500204,2007,(Mil Reais),17088
3500204,2008,(Mil Reais),23301
3500204,2009,(Mil Reais),21652
3500204,2010,(Mil Reais),48287
3500204,2011,(Mil Reais),49352
3500204,2012,(Mil Reais),18177
3500204,2013,(Mil Reais),12878
3500204,2014,(Mil Reais),14322
3500303,1990,(Mil Cruzeiros),314439
3500303,1991,(Mil Cruzeiros),3316126
3500303,1992,(Mil Cruzeiros),47532400
3500303,1993,(Mil Cruzeiros Reais),1396175
3500303,1994,(Mil Reais),19592
3500303,1995,(Mil Reais),6053
3500303,1996,(Mil Reais),6493
3500303,1997,(Mil Reais),2361
3500303,1998,(Mil Reais),10852
3500303,1999,(Mil Reais),7720
3500303,2000,(Mil Reais),14139
3500303,2001,(Mil Reais),96715
3500303,2002,(Mil Reais),41193
3500303,2003,(Mil Reais),39277
3500303,2004,(Mil Reais),188380
3500303,2005,(Mil Reais),107962
3500303,2006,(Mil Reais),193552
3500303,2007,(Mil Reais),347441
3500303,2008,(Mil Reais),202258
3500303,2009,(Mil Reais),61699
3500303,2010,(Mil Reais),123669
3500303,2011,(Mil Reais),162333
3500303,2012,(Mil Reais),82711
3500303,2013,(Mil Reais),74628
3500303,2014,(Mil Reais),68637
3500402,1990,(Mil Cruzeiros),56920
3500402,1991,(Mil Cruzeiros),185970
3500402,1992,(Mil Cruzeiros),1395491
3500402,1993,(Mil Cruzeiros Reais),192640
3500402,1994,(Mil Reais),2008
3500402,1995,(Mil Reais),1664
3500402,1996,(Mil Reais),1368
3500402,1997,(Mil Reais),1145
3500402,1998,(Mil Reais),1194
3500402,1999,(Mil Reais),1119
3500402,2000,(Mil Reais),1987
3500402,2001,(Mil Reais),1659
3500402,2002,(Mil Reais),2096
3500402,2003,(Mil Reais),2397
3500402,2004,(Mil Reais),3033
3500402,2005,(Mil Reais),2390
3500402,2006,(Mil Reais),2360
3500402,2007,(Mil Reais),2206
3500402,2008,(Mil Reais),1615
3500402,2009,(Mil Reais),2898
3500402,2010,(Mil Reais),563
3500402,2011,(Mil Reais),9923
3500402,2012,(Mil Reais),9398
3500402,2013,(Mil Reais),4456
3500402,2014,(Mil Reais),6116
3500501,1990,(Mil Cruzeiros),45699
3500501,1991,(Mil Cruzeiros),317569
3500501,1992,(Mil Cruzeiros),4158525
3500501,1993,(Mil Cruzeiros Reais),91425
3500501,1994,(Mil Reais),968
3500501,1995,(Mil Reais),1091
3500501,1996,(Mil Reais),1092
3500501,1997,(Mil Reais),1317
3500501,1998,(Mil Reais),794
3500501,1999,(Mil Reais),1002
3500501,2000,(Mil Reais),871
3500501,2001,(Mil Reais),1026
3500501,2002,(Mil Reais),1062
3500501,2003,(Mil Reais),1361
3500501,2004,(Mil Reais),1381
3500501,2005,(Mil Reais),1566
3500501,2006,(Mil Reais),1468
3500501,2007,(Mil Reais),3136
3500501,2008,(Mil Reais),1785
3500501,2009,(Mil Reais),2535
3500501,2010,(Mil Reais),3226
3500501,2011,(Mil Reais),3722
3500501,2012,(Mil Reais),3088
3500501,2013,(Mil Reais),2467
3500501,2014,(Mil Reais),3313
3500550,1990,(Mil Cruzeiros),7080
3500550,1991,(Mil Cruzeiros),64138
3500550,1992,(Mil Cruzeiros),10995000
3500550,1993,(Mil Cruzeiros Reais),139258
3500550,1994,(Mil Reais),2468
3500550,1995,(Mil Reais),679
3500550,1996,(Mil Reais),656
3500550,1997,(Mil Reais),1023
3500550,1998,(Mil Reais),2326
3500550,1999,(Mil Reais),2242
3500550,2000,(Mil Reais),718
3500550,2001,(Mil Reais),5074
3500550,2002,(Mil Reais),9982
3500550,2003,(Mil Reais),6397
3500550,2004,(Mil Reais),8836
3500550,2005,(Mil Reais),6574
3500550,2006,(Mil Reais),12384
3500550,2007,(Mil Reais),8984
3500550,2008,(Mil Reais),8497
3500550,2009,(Mil Reais),34811
3500550,2010,(Mil Reais),65086
3500550,2011,(Mil Reais),58245
3500550,2012,(Mil Reais),52916
3500550,2013,(Mil Reais),43432
3500550,2014,(Mil Reais),95225
3500600,1990,(Mil Cruzeiros),-
3500600,1991,(Mil Cruzeiros),-
3500600,1992,(Mil Cruzeiros),-
3500600,1993,(Mil Cruzeiros Reais),-
3500600,1994,(Mil Reais),-
3500600,1995,(Mil Reais),-
3500600,1996,(Mil Reais),-
3500600,1997,(Mil Reais),-
3500600,1998,(Mil Reais),-
3500600,1999,(Mil Reais),-
3500600,2000,(Mil Reais),-
3500600,2001,(Mil Reais),-
3500600,2002,(Mil Reais),-
3500600,2003,(Mil Reais),-
3500600,2004,(Mil Reais),-
3500600,2005,(Mil Reais),-
3500600,2006,(Mil Reais),-
3500600,2007,(Mil Reais),-
3500600,2008,(Mil Reais),-
3500600,2009,(Mil Reais),-
3500600,2010,(Mil Reais),-
3500600,2011,(Mil Reais),-
3500600,2012,(Mil Reais),-
3500600,2013,(Mil Reais),-
3500600,2014,(Mil Reais),-
3500709,1990,(Mil Cruzeiros),44192
3500709,1991,(Mil Cruzeiros),187697
3500709,1992,(Mil Cruzeiros),2651998
3500709,1993,(Mil Cruzeiros Reais),34788
3500709,1994,(Mil Reais),469
3500709,1995,(Mil Reais),764
3500709,1996,(Mil Reais),612
3500709,1997,(Mil Reais),631
3500709,1998,(Mil Reais),328
3500709,1999,(Mil Reais),431
3500709,2000,(Mil Reais),330
3500709,2001,(Mil Reais),580
3500709,2002,(Mil Reais),439
3500709,2003,(Mil Reais),347
3500709,2004,(Mil Reais),738
3500709,2005,(Mil Reais),697
3500709,2006,(Mil Reais),1108
3500709,2007,(Mil Reais),2002
3500709,2008,(Mil Reais),1266
3500709,2009,(Mil Reais),1267
3500709,2010,(Mil Reais),1013
3500709,2011,(Mil Reais),3361
3500709,2012,(Mil Reais),2984
3500709,2013,(Mil Reais),3486
3500709,2014,(Mil Reais),5733
3500758,1990,(Mil Cruzeiros),-
3500758,1991,(Mil Cruzeiros),-
3500758,1992,(Mil Cruzeiros),-
3500758,1993,(Mil Cruzeiros Reais),-
3500758,1994,(Mil Reais),10
3500758,1995,(Mil Reais),9
3500758,1996,(Mil Reais),16
3500758,1997,(Mil Reais),900
3500758,1998,(Mil Reais),1351
3500758,1999,(Mil Reais),1132
3500758,2000,(Mil Reais),863
3500758,2001,(Mil Reais),3583
3500758,2002,(Mil Reais),4913
3500758,2003,(Mil Reais),10821
3500758,2004,(Mil Reais),7618
3500758,2005,(Mil Reais),8350
3500758,2006,(Mil Reais),7492
3500758,2007,(Mil Reais),8259
3500758,2008,(Mil Reais),7088
3500758,2009,(Mil Reais),8453
3500758,2010,(Mil Reais),10982
3500758,2011,(Mil Reais),2957
3500758,2012,(Mil Reais),2647
3500758,2013,(Mil Reais),2072
3500758,2014,(Mil Reais),2281
3500808,1990,(Mil Cruzeiros),5955
3500808,1991,(Mil Cruzeiros),83888
3500808,1992,(Mil Cruzeiros),961525
3500808,1993,(Mil Cruzeiros Reais),15796
3500808,1994,(Mil Reais),150
3500808,1995,(Mil Reais),143
3500808,1996,(Mil Reais),161
3500808,1997,(Mil Reais),126
3500808,1998,(Mil Reais),315
3500808,1999,(Mil Reais),273
3500808,2000,(Mil Reais),120
3500808,2001,(Mil Reais),742
3500808,2002,(Mil Reais),656
3500808,2003,(Mil Reais),610
3500808,2004,(Mil Reais),339
3500808,2005,(Mil Reais),428
3500808,2006,(Mil Reais),491
