Município,Ano,Area Colhida
3500105,1990,8763
3500105,1991,7898
3500105,1992,8627
3500105,1993,7811
3500105,1994,8993
3500105,1995,8844
3500105,1996,9765
3500105,1997,10106
3500105,1998,9598
3500105,1999,9765
3500105,2000,9015
3500105,2001,11022
3500105,2002,13184
3500105,2003,12093
3500105,2004,13308
3500105,2005,12825
3500105,2006,11757
3500105,2007,13241
3500105,2008,15035
3500105,2009,15230
3500105,2010,14946
3500105,2011,14480
3500105,2012,14382
3500105,2013,14284
3500105,2014,13419
3500204,1990,2736
3500204,1991,2579
3500204,1992,3858
3500204,1993,2814
3500204,1994,4623
3500204,1995,2507
3500204,1996,1828
3500204,1997,1470
3500204,1998,2048
3500204,1999,1990
3500204,2000,1533
3500204,2001,10211
3500204,2002,1874
3500204,2003,3720
3500204,2004,4377
3500204,2005,4453
3500204,2006,4009
3500204,2007,6464
3500204,2008,7274
3500204,2009,5892
3500204,2010,6195
3500204,2011,6187
3500204,2012,5881
3500204,2013,5494
3500204,2014,7161
3500303,1990,13775
3500303,1991,14370
3500303,1992,12570
3500303,1993,11440
3500303,1994,11450
3500303,1995,12000
3500303,1996,14830
3500303,1997,12550
3500303,1998,12506
3500303,1999,12970
3500303,2000,17060
3500303,2001,9729
3500303,2002,16890
3500303,2003,20930
3500303,2004,19545
3500303,2005,19886
3500303,2006,21976
3500303,2007,18600
3500303,2008,21640
3500303,2009,19090
3500303,2010,20050
3500303,2011,22810
3500303,2012,23130
3500303,2013,22330
3500303,2014,22800
3500402,1990,838
3500402,1991,1308
3500402,1992,1229
3500402,1993,1114
3500402,1994,1160
3500402,1995,1220
3500402,1996,1195
3500402,1997,940
3500402,1998,960
3500402,1999,910
3500402,2000,1070
3500402,2001,850
3500402,2002,950
3500402,2003,920
3500402,2004,928
3500402,2005,980
3500402,2006,980
3500402,2007,940
3500402,2008,909
3500402,2009,900
3500402,2010,860
3500402,2011,865
3500402,2012,830
3500402,2013,1645
3500402,2014,790
3500501,1990,362
3500501,1991,384
3500501,1992,259
3500501,1993,260
3500501,1994,110
3500501,1995,107
3500501,1996,115
3500501,1997,143
3500501,1998,140
3500501,1999,129
3500501,2000,122
3500501,2001,139
3500501,2002,144
3500501,2003,136
3500501,2004,136
3500501,2005,136
3500501,2006,136
3500501,2007,138
3500501,2008,134
3500501,2009,134
3500501,2010,134
3500501,2011,101
3500501,2012,101
3500501,2013,101
3500501,2014,101
3500550,1990,10960
3500550,1991,7955
3500550,1992,9210
3500550,1993,5880
3500550,1994,2516
3500550,1995,3854
3500550,1996,5500
3500550,1997,5850
3500550,1998,3540
3500550,1999,6360
3500550,2000,4450
3500550,2001,3990
3500550,2002,4450
3500550,2003,5700
3500550,2004,5130
3500550,2005,5634
3500550,2006,4905
3500550,2007,4786
3500550,2008,4602
3500550,2009,13600
3500550,2010,7680
3500550,2011,6650
3500550,2012,11090
3500550,2013,11090
3500550,2014,11090
3500600,1990,-
3500600,1991,-
3500600,1992,-
3500600,1993,-
3500600,1994,-
3500600,1995,-
3500600,1996,-
3500600,1997,-
3500600,1998,-
3500600,1999,-
3500600,2000,-
3500600,2001,-
3500600,2002,-
3500600,2003,-
3500600,2004,-
3500600,2005,-
3500600,2006,-
3500600,2007,-
3500600,2008,-
3500600,2009,-
3500600,2010,-
3500600,2011,-
3500600,2012,1
3500600,2013,-
3500600,2014,-
3500709,1990,5570
3500709,1991,6247
3500709,1992,9072
3500709,1993,8653
3500709,1994,8498
3500709,1995,11200
3500709,1996,11100
3500709,1997,15811
3500709,1998,9841
3500709,1999,9492
3500709,2000,9640
3500709,2001,9162
3500709,2002,8398
3500709,2003,9574
3500709,2004,5259
3500709,2005,6097
3500709,2006,10115
3500709,2007,10951
3500709,2008,13308
3500709,2009,13036
3500709,2010,12981
3500709,2011,15080
3500709,2012,15047
3500709,2013,15045
3500709,2014,16333
3500758,1990,-
3500758,1991,-
3500758,1992,-
3500758,1993,2910
3500758,1994,3165
3500758,1995,3551
3500758,1996,1390
3500758,1997,1445
3500758,1998,1401
3500758,1999,2075
3500758,2000,160
3500758,2001,1425
3500758,2002,1195
3500758,2003,1100
3500758,2004,1560
3500758,2005,1343
3500758,2006,1237
3500758,2007,1897
3500758,2008,1705
3500758,2009,2279
3500758,2010,3106
3500758,2011,2950
3500758,2012,2701
3500758,2013,3221
3500758,2014,3061
3500808,1990,3495
3500808,1991,3298
3500808,1992,3276
3500808,1993,3575
3500808,1994,2880
3500808,1995,2010
3500808,1996,1850
3500808,1997,1480
3500808,1998,1070
3500808,1999,1525
3500808,2000,1237
3500808,2001,1345
3500808,2002,996
3500808,2003,723
3500808,2004,782
3500808,2005,656
3500808,2006,459
3500808,2007,558
3500808,2008,729
3500808,2009,490
3500808,2010,575
3500808,2011,626
3500808,2012,429
3500808,2013,305
3500808,2014,332
3500907,1990,6900
3500907,1991,6600
3500907,1992,5150
3500907,1993,6200
3500907,1994,7640
3500907,1995,7680
3500907,1996,6030
3500907,1997,7110
3500907,1998,6540
3500907,1999,6830
3500907,2000,6950
3500907,2001,9030
3500907,2002,9330
3500907,2003,10550
3500907,2004,12142
3500907,2005,12886
3500907,2006,11853
3500907,2007,12828
3500907,2008,12828
3500907,2009,14380
3500907,2010,15650
3500907,2011,20600
3500907,2012,20600
3500907,2013,30970
3500907,2014,33970
3501004,1990,16730
3501004,1991,16208
3501004,1992,14820
3501004,1993,15620
3501004,1994,15650
3501004,1995,15810
3501004,1996,19380
3501004,1997,16300
3501004,1998,18210
3501004,1999,16500
3501004,2000,16510
3501004,2001,16202
3501004,2002,15720
3501004,2003,16130
3501004,2004,17430
3501004,2005,18499
3501004,2006,17890
3501004,2007,15950
3501004,2008,16526
3501004,2009,28474
3501004,2010,29259
3501004,2011,30255
3501004,2012,16080
3501004,2013,19827
3501004,2014,27817
3501103,1990,2560
3501103,1991,3780
3501103,1992,7588
3501103,1993,7830
3501103,1994,7705
3501103,1995,5920
3501103,1996,4435
3501103,1997,5460
3501103,1998,5810
3501103,1999,4470
3501103,2000,4706
3501103,2001,1410
3501103,2002,7784
3501103,2003,8772
3501103,2004,8828
3501103,2005,5729
3501103,2006,9204
3501103,2007,9129
3501103,2008,9849
3501103,2009,-
3501103,2010,15876
3501103,2011,15644
3501103,2012,12896
3501103,2013,12727
3501103,2014,18040
3501152,1990,-
3501152,1991,-
3501152,1992,-
3501152,1993,-
3501152,1994,-
3501152,1995,-
3501152,1996,-
3501152,1997,50
3501152,1998,224
3501152,1999,182
3501152,2000,167
3501152,2001,205
3501152,2002,327
3501152,2003,327
3501152,2004,287
3501152,2005,376
3501152,2006,376
3501152,2007,470
3501152,2008,348
3501152,2009,344
3501152,2010,286
3501152,2011,276
3501152,2012,271
3501152,2013,271
3501152,2014,271
3501202,1990,5650
3501202,1991,6331
3501202,1992,5971
3501202,1993,3585
3501202,1994,3462
3501202,1995,3479
3501202,1996,1796
3501202,1997,4272
3501202,1998,2434
3501202,1999,2066
3501202,2000,1354
3501202,2001,1751
3501202,2002,1802
3501202,2003,2602
3501202,2004,2878
3501202,2005,3250
3501202,2006,4100
3501202,2007,3572
3501202,2008,4386
3501202,2009,2200
3501202,2010,2250
3501202,2011,4110
3501202,2012,7515
3501202,2013,9451
3501202,2014,10290
3501301,1990,3275
3501301,1991,1426
3501301,1992,3279
3501301,1993,1910
3501301,1994,3610
3501301,1995,2630
3501301,1996,2435
3501301,1997,1890
3501301,1998,2140
3501301,1999,2260
3501301,2000,2080
3501301,2001,2010
3501301,2002,2080
3501301,2003,1770
3501301,2004,2080
3501301,2005,2855
3501301,2006,2825
3501301,2007,1855
3501301,2008,1310
3501301,2009,1260
3501301,2010,1110
3501301,2011,1260
3501301,2012,1557
3501301,2013,1150
3501301,2014,1060
3501400,1990,795
3501400,1991,489
3501400,1992,510
3501400,1993,600
3501400,1994,502
3501400,1995,340
3501400,1996,335
3501400,1997,113
3501400,1998,116
3501400,1999,125
3501400,2000,26
3501400,2001,68
3501400,2002,24
3501400,2003,36
3501400,2004,521
3501400,2005,546
3501400,2006,361
3501400,2007,371
3501400,2008,95
3501400,2009,28
3501400,2010,417
3501400,2011,1490
3501400,2012,910
3501400,2013,515
3501400,2014,175
3501509,1990,360
3501509,1991,522
3501509,1992,412
3501509,1993,245
3501509,1994,172
3501509,1995,184
3501509,1996,281
3501509,1997,153
3501509,1998,134
3501509,1999,145
3501509,2000,140
3501509,2001,120
3501509,2002,120
3501509,2003,113
3501509,2004,447
3501509,2005,1342
3501509,2006,1378
3501509,2007,1208
3501509,2008,561
3501509,2009,891
3501509,2010,993
3501509,2011,1136
3501509,2012,851
3501509,2013,1500
3501509,2014,550
3501608,1990,2240
3501608,1991,2260
3501608,1992,2210
3501608,1993,2210
3501608,1994,2210
3501608,1995,2210
3501608,1996,2000
3501608,1997,2150
3501608,1998,2600
3501608,1999,2200
3501608,2000,2200
3501608,2001,2800
3501608,2002,2895
3501608,2003,1710
3501608,2004,1700
3501608,2005,1775
3501608,2006,2595
3501608,2007,2595
3501608,2008,2570
3501608,2009,2850
3501608,2010,3210
3501608,2011,2320
3501608,2012,2500
3501608,2013,2500
3501608,2014,1671
3501707,1990,9433
3501707,1991,9165
3501707,1992,10840
3501707,1993,10100
3501707,1994,10100
3501707,1995,10390
3501707,1996,9970
3501707,1997,8490
3501707,1998,10140
3501707,1999,7325
3501707,2000,7397
3501707,2001,7000
3501707,2002,7150
3501707,2003,7150
3501707,2004,7300
3501707,2005,7139
3501707,2006,7139
3501707,2007,7204
3501707,2008,9334
3501707,2009,9309
3501707,2010,8780
3501707,2011,8780
3501707,2012,9385
3501707,2013,8790
3501707,2014,8790
3501806,1990,3257
3501806,1991,2924
3501806,1992,2810
3501806,1993,2830
3501806,1994,2779
3501806,1995,3036
3501806,1996,3835
3501806,1997,532
3501806,1998,460
3501806,1999,271
3501806,2000,314
3501806,2001,204
3501806,2002,210
3501806,2003,800
3501806,2004,1988
3501806,2005,3620
3501806,2006,2790
3501806,2007,3120
3501806,2008,3340
3501806,2009,5869
3501806,2010,7840
3501806,2011,7777
3501806,2012,7682
3501806,2013,7107
3501806,2014,12412
3501905,1990,4220
3501905,1991,3020
3501905,1992,3120
3501905,1993,3085
3501905,1994,2700
3501905,1995,4720
3501905,1996,4122
3501905,1997,4560
3501905,1998,2800
3501905,1999,2795
3501905,2000,2890
3501905,2001,2805
3501905,2002,2477
3501905,2003,2720
3501905,2004,2310
3501905,2005,2677
3501905,2006,2705
3501905,2007,3186
3501905,2008,3190
3501905,2009,3190
3501905,2010,3190
3501905,2011,2951
3501905,2012,3917
3501905,2013,3939
3501905,2014,3415
3502002,1990,3382
3502002,1991,4132
3502002,1992,3165
3502002,1993,2327
3502002,1994,2540
3502002,1995,2800
3502002,1996,2600
3502002,1997,2780
3502002,1998,2780
3502002,1999,2840
3502002,2000,2920
3502002,2001,2755
3502002,2002,2805
3502002,2003,2660
3502002,2004,2810
3502002,2005,2920
3502002,2006,2820
3502002,2007,2970
3502002,2008,2920
3502002,2009,4700
3502002,2010,4920
3502002,2011,4920
3502002,2012,7750
3502002,2013,7700
3502002,2014,9150
3502101,1990,10562
3502101,1991,18383
3502101,1992,16645
3502101,1993,11228
3502101,1994,8868
3502101,1995,9658
3502101,1996,3417
3502101,1997,4620
3502101,1998,8811
3502101,1999,10869
3502101,2000,9680
3502101,2001,12375
3502101,2002,15116
3502101,2003,21210
3502101,2004,40403
3502101,2005,21759
3502101,2006,21343
3502101,2007,24596
3502101,2008,36265
3502101,2009,35300
3502101,2010,34597
3502101,2011,36263
3502101,2012,37520
3502101,2013,37532
3502101,2014,37563
3502200,1990,8724
3502200,1991,5864
3502200,1992,9604
3502200,1993,5234
3502200,1994,5554
3502200,1995,5564
3502200,1996,2874
3502200,1997,3244
3502200,1998,7644
3502200,1999,10180
3502200,2000,8680
3502200,2001,9730
3502200,2002,8313
3502200,2003,8912
3502200,2004,9310
3502200,2005,13067
3502200,2006,12898
3502200,2007,13270
3502200,2008,12057
3502200,2009,12845
3502200,2010,12573
3502200,2011,15635
3502200,2012,18253
3502200,2013,17543
3502200,2014,15968
3502309,1990,5200
3502309,1991,4714
3502309,1992,5050
3502309,1993,5280
3502309,1994,4272
3502309,1995,4280
3502309,1996,3910
3502309,1997,6089
3502309,1998,6560
3502309,1999,6660
3502309,2000,8200
3502309,2001,7859
3502309,2002,8959
3502309,2003,9838
3502309,2004,10214
