Municipio,Lavoura temporária,Ano,Valor
3500105,Abacaxi,1995,-
3500105,Abacaxi,2014,34
3500105,Algodão herbáceo (em caroço),1995,635
3500105,Algodão herbáceo (em caroço),2014,-
3500105,Alho,1995,-
3500105,Alho,2014,-
3500105,Amendoim (em casca),1995,133
3500105,Amendoim (em casca),2014,305
3500105,Arroz (em casca),1995,17
3500105,Arroz (em casca),2014,-
3500105,Aveia (em grão),1995,-
3500105,Aveia (em grão),2014,-
3500105,Batata-doce,1995,-
3500105,Batata-doce,2014,-
3500105,Batata-inglesa,1995,-
3500105,Batata-inglesa,2014,-
3500105,Cana-de-açúcar,1995,4040
3500105,Cana-de-açúcar,2014,43003
3500105,Cebola,1995,-
3500105,Cebola,2014,-
3500105,Centeio (em grão),1995,-
3500105,Centeio (em grão),2014,-
3500105,Cevada (em grão),1995,-
3500105,Cevada (em grão),2014,-
3500105,Ervilha (em grão),1995,-
3500105,Ervilha (em grão),2014,-
3500105,Fava (em grão),1995,-
3500105,Fava (em grão),2014,-
3500105,Feijão (em grão),1995,348
3500105,Feijão (em grão),2014,1450
3500105,Fumo (em folha),1995,-
3500105,Fumo (em folha),2014,-
3500105,Girassol (em grão),1995,-
3500105,Girassol (em grão),2014,-
3500105,Juta (fibra),1995,-
3500105,Juta (fibra),2014,-
3500105,Linho (semente),1995,-
3500105,Linho (semente),2014,-
3500105,Malva (fibra),1995,-
3500105,Malva (fibra),2014,-
3500105,Mamona (baga),1995,2
3500105,Mamona (baga),2014,-
3500105,Mandioca,1995,42
3500105,Mandioca,2014,93
3500105,Melancia,1995,8
3500105,Melancia,2014,701
3500105,Melão,1995,-
3500105,Melão,2014,-
3500105,Milho (em grão),1995,359
3500105,Milho (em grão),2014,504
3500105,Rami (fibra),1995,-
3500105,Rami (fibra),2014,-
3500105,Soja (em grão),1995,-
3500105,Soja (em grão),2014,-
3500105,Sorgo (em grão),1995,-
3500105,Sorgo (em grão),2014,-
3500105,Tomate,1995,1152
3500105,Tomate,2014,3950
3500105,Trigo (em grão),1995,-
3500105,Trigo (em grão),2014,-
3500105,Triticale (em grão),1995,-
3500105,Triticale (em grão),2014,-
3500204,Abacaxi,1995,-
3500204,Abacaxi,2014,-
3500204,Algodão herbáceo (em caroço),1995,-
3500204,Algodão herbáceo (em caroço),2014,-
3500204,Alho,1995,-
