Municipio,Ano,Moeda,VPTemporario
3500105,1990,(Mil Cruzeiros),434771
3500105,1991,(Mil Cruzeiros),2040309
3500105,1992,(Mil Cruzeiros),24592080
3500105,1993,(Mil Cruzeiros Reais),512000
3500105,1994,(Mil Reais),5400
3500105,1995,(Mil Reais),6736
3500105,1996,(Mil Reais),9147
3500105,1997,(Mil Reais),9449
3500105,1998,(Mil Reais),9923
3500105,1999,(Mil Reais),9669
3500105,2000,(Mil Reais),7929
3500105,2001,(Mil Reais),16145
3500105,2002,(Mil Reais),24728
3500105,2003,(Mil Reais),24521
3500105,2004,(Mil Reais),23554
3500105,2005,(Mil Reais),24943
3500105,2006,(Mil Reais),26151
3500105,2007,(Mil Reais),41226
3500105,2008,(Mil Reais),40172
3500105,2009,(Mil Reais),47400
3500105,2010,(Mil Reais),39836
3500105,2011,(Mil Reais),44978
3500105,2012,(Mil Reais),56796
3500105,2013,(Mil Reais),62739
3500105,2014,(Mil Reais),50040
3500204,1990,(Mil Cruzeiros),55474
3500204,1991,(Mil Cruzeiros),631356
3500204,1992,(Mil Cruzeiros),12062400
3500204,1993,(Mil Cruzeiros Reais),93220
3500204,1994,(Mil Reais),1679
3500204,1995,(Mil Reais),911
3500204,1996,(Mil Reais),952
3500204,1997,(Mil Reais),815
3500204,1998,(Mil Reais),1598
3500204,1999,(Mil Reais),1108
3500204,2000,(Mil Reais),1196
3500204,2001,(Mil Reais),16988
3500204,2002,(Mil Reais),2661
3500204,2003,(Mil Reais),4376
3500204,2004,(Mil Reais),8629
3500204,2005,(Mil Reais),6966
3500204,2006,(Mil Reais),7341
3500204,2007,(Mil Reais),17275
3500204,2008,(Mil Reais),20586
3500204,2009,(Mil Reais),17392
3500204,2010,(Mil Reais),20138
3500204,2011,(Mil Reais),33768
3500204,2012,(Mil Reais),27887
3500204,2013,(Mil Reais),40563
3500204,2014,(Mil Reais),39229
3500303,1990,(Mil Cruzeiros),742854
3500303,1991,(Mil Cruzeiros),3307234
3500303,1992,(Mil Cruzeiros),31379426
3500303,1993,(Mil Cruzeiros Reais),785627
3500303,1994,(Mil Reais),6861
3500303,1995,(Mil Reais),9670
3500303,1996,(Mil Reais),13029
3500303,1997,(Mil Reais),12380
3500303,1998,(Mil Reais),14081
3500303,1999,(Mil Reais),13105
3500303,2000,(Mil Reais),26745
3500303,2001,(Mil Reais),10848
3500303,2002,(Mil Reais),34659
3500303,2003,(Mil Reais),49537
